Name of Earth Meteorite,ID of Earth Meteorite,Name Type,Recclass,Mass (g),Year,Latitude,Longitude,Coordinates
Chervony Kut,5342,Valid,Eucrite-mmict,,1939-01-01T00:00:00.000,50.833330,34.000000,"[34, 50.83333]"
Chetrinahatti,5344,Valid,Stone-uncl,,1880-01-01T00:00:00.000,14.500000,76.500000,"[76.5, 14.5]"
Chiang Khan,5345,Valid,H6,,1981-01-01T00:00:00.000,17.900000,101.633330,"[101.63333, 17.9]"
Chicora,5349,Valid,LL6,,1938-01-01T00:00:00.000,40.933330,-79.733330,"[-79.73333, 40.93333]"
Chisenga,5355,Valid,"Iron, IIIAB",,1988-01-01T00:00:00.000,-10.059440,33.395000,"[33.395, -10.05944]"
Chitado,5356,Valid,L6,,1966-01-01T00:00:00.000,-17.350000,13.966670,"[13.96667, -17.35]"
Chitenay,5357,Valid,L6,,1978-01-01T00:00:00.000,47.470830,0.976670,"[0.97667, 47.47083]"
Cilimus,5364,Valid,L5,,1979-01-01T00:00:00.000,-6.950000,108.100000,"[108.1, -6.95]"
Claxton,5374,Valid,L6,,1984-01-01T00:00:00.000,32.102500,-81.872780,"[-81.87278, 32.1025]"
Clohars,5383,Valid,L4,,1822-01-01T00:00:00.000,,,[]
Colby (Wisconsin),5395,Valid,L6,,1917-01-01T00:00:00.000,44.900000,-90.283330,"[-90.28333, 44.9]"
Cold Bokkeveld,5397,Valid,CM2,,1838-01-01T00:00:00.000,-33.133330,19.383330,"[19.38333, -33.13333]"
Coleman,5401,Valid,L6,,1994-01-01T00:00:00.000,43.761110,-84.507780,"[-84.50778, 43.76111]"
Collescipoli,5403,Valid,H5,,1890-01-01T00:00:00.000,42.533330,12.616670,"[12.61667, 42.53333]"
Conquista,5418,Valid,H4,,1965-01-01T00:00:00.000,-19.850000,-47.550000,"[-47.55, -19.85]"
Cosina,5451,Valid,H5,,1844-01-01T00:00:00.000,21.166670,-100.866670,"[-100.86667, 21.16667]"
Cranganore,5465,Valid,L6,,1917-01-01T00:00:00.000,10.200000,76.266670,"[76.26667, 10.2]"
Crescent,5470,Valid,CM2,,1936-01-01T00:00:00.000,35.950000,-97.583330,"[-97.58333, 35.95]"
Cronstad,5474,Valid,H5,,1877-01-01T00:00:00.000,-27.700000,27.300000,"[27.3, -27.7]"
Cross Roads,5476,Valid,H5,,1892-01-01T00:00:00.000,35.633330,-78.133330,"[-78.13333, 35.63333]"
Crumlin,5477,Valid,L5,,1902-01-01T00:00:00.000,54.616670,-6.216670,"[-6.21667, 54.61667]"
Cumberland Falls,5496,Valid,Aubrite,,1919-01-01T00:00:00.000,36.833330,-84.350000,"[-84.35, 36.83333]"
Cynthiana,5500,Valid,L/LL4,,1877-01-01T00:00:00.000,38.400000,-84.250000,"[-84.25, 38.4]"
Dahmani,5504,Valid,LL6,,1981-01-01T00:00:00.000,35.616670,8.833330,"[8.83333, 35.61667]"
Dandapur,5511,Valid,L6,,1878-01-01T00:00:00.000,26.916670,83.966670,"[83.96667, 26.91667]"
Daniel's Kuil,5513,Valid,EL6,,1868-01-01T00:00:00.000,-28.200000,24.566670,"[24.56667, -28.2]"
Danville,5514,Valid,L6,,1868-01-01T00:00:00.000,34.400000,-87.066670,"[-87.06667, 34.4]"
Darmstadt,6603,Valid,H5,,1804-01-01T00:00:00.000,49.866670,8.650000,"[8.65, 49.86667]"
Dashoguz,6604,Valid,H5,,1998-01-01T00:00:00.000,41.984440,59.685000,"[59.685, 41.98444]"
Daule,51559,Valid,L5,,2008-01-01T00:00:00.000,-1.870890,-79.957560,"[-79.95756, -1.87089]"
De Cewsville,6621,Valid,H6,,1887-01-01T00:00:00.000,43.000000,-80.000000,"[-80, 43]"
Deal,6634,Valid,L6,,1829-01-01T00:00:00.000,40.250000,-74.000000,"[-74, 40.25]"
Delhi,6642,Valid,L5,,1897-01-01T00:00:00.000,28.566670,77.250000,"[77.25, 28.56667]"
Demina,6649,Valid,L6,,1911-01-01T00:00:00.000,51.466670,84.766670,"[84.76667, 51.46667]"
Denver,6660,Valid,L6,,1967-01-01T00:00:00.000,39.782500,-104.930560,"[-104.93056, 39.7825]"
Dergaon,6664,Valid,H5,,2001-01-01T00:00:00.000,26.683330,93.866670,"[93.86667, 26.68333]"
Desuri,6693,Valid,H6,,1962-01-01T00:00:00.000,25.733330,73.616670,"[73.61667, 25.73333]"
Devgaon,6694,Valid,H3.8,,2001-01-01T00:00:00.000,19.000000,81.000000,"[81, 19]"
Devri-Khera,6696,Valid,L6,,1994-01-01T00:00:00.000,24.225000,76.525000,"[76.525, 24.225]"
Dhajala,6698,Valid,H3.8,,1976-01-01T00:00:00.000,22.377780,71.427220,"[71.42722, 22.37778]"
Dharwar,6699,Valid,OC,,1848-01-01T00:00:00.000,14.883330,75.600000,"[75.6, 14.88333]"
Dhurmsala,7640,Valid,LL6,,1860-01-01T00:00:00.000,32.233330,76.466670,"[76.46667, 32.23333]"
Didim,47350,Valid,H3-5,,2007-01-01T00:00:00.000,37.351720,27.329970,"[27.32997, 37.35172]"
Diep River,7642,Valid,L6,,1906-01-01T00:00:00.000,-33.750000,18.566670,"[18.56667, -33.75]"
Distrito Quebracho,7649,Valid,H4,,1957-01-01T00:00:00.000,-31.883330,-60.466670,"[-60.46667, -31.88333]"
Djati-Pengilon,7652,Valid,H6,,1884-01-01T00:00:00.000,-7.500000,111.500000,"[111.5, -7.5]"
Djermaia,7656,Valid,H,,1961-01-01T00:00:00.000,12.733330,15.050000,"[15.05, 12.73333]"
Djoumine,7657,Valid,H5-6,,1999-01-01T00:00:00.000,36.950000,9.550000,"[9.55, 36.95]"
Dokachi,7658,Valid,H5,,1903-01-01T00:00:00.000,23.500000,90.333330,"[90.33333, 23.5]"
Dolgovoli,7659,Valid,L6,,1864-01-01T00:00:00.000,50.750000,25.300000,"[25.3, 50.75]"
Domanitch,7661,Valid,L5,,1907-01-01T00:00:00.000,40.000000,29.000000,"[29, 40]"
Dong Ujimqin Qi,7706,Valid,Mesosiderite,,1995-01-01T00:00:00.000,45.500000,119.033330,"[119.03333, 45.5]"
Donga Kohrod,7707,Valid,H6,,1899-01-01T00:00:00.000,21.866670,82.450000,"[82.45, 21.86667]"
Dongtai,7708,Valid,LL6,,1970-01-01T00:00:00.000,32.916670,120.783330,"[120.78333, 32.91667]"
Doroninsk,7718,Valid,H5-7,,1805-01-01T00:00:00.000,51.200000,112.300000,"[112.3, 51.2]"
Dosso,7722,Valid,L6,,1962-01-01T00:00:00.000,13.050000,3.166670,"[3.16667, 13.05]"
Douar Mghila,7723,Valid,LL6,,1932-01-01T00:00:00.000,32.333330,-6.300000,"[-6.3, 32.33333]"
Dowa,7725,Valid,Stone-uncl,,1976-01-01T00:00:00.000,-13.666670,33.916670,"[33.91667, -13.66667]"
Drake Creek,7728,Valid,L6,,1827-01-01T00:00:00.000,36.400000,-86.500000,"[-86.5, 36.4]"
Dresden (Ontario),7731,Valid,H6,,1939-01-01T00:00:00.000,42.520000,-82.260000,"[-82.26, 42.52]"
Dubrovnik,7736,Valid,L3-6,,1951-01-01T00:00:00.000,42.458330,18.441670,"[18.44167, 42.45833]"
Dunbogan,7743,Valid,L6,,1999-01-01T00:00:00.000,-31.666670,152.833330,"[152.83333, -31.66667]"
Dundrum,7745,Valid,H5,,1865-01-01T00:00:00.000,52.550000,-8.033330,"[-8.03333, 52.55]"
Dunhua,7749,Valid,Stone-uncl,,1976-01-01T00:00:00.000,43.333330,128.250000,"[128.25, 43.33333]"
Durala,7750,Valid,L6,,1815-01-01T00:00:00.000,30.300000,76.633330,"[76.63333, 30.3]"
Duruma,7752,Valid,L6,,1853-01-01T00:00:00.000,-4.000000,39.500000,"[39.5, -4]"
Duwun,7754,Valid,L6,,1943-01-01T00:00:00.000,33.433330,127.266670,"[127.26667, 33.43333]"
Dwaleni,7755,Valid,H4-6,,1970-01-01T00:00:00.000,-27.200000,31.316670,"[31.31667, -27.2]"
Dyalpur,7757,Valid,Ureilite,,1872-01-01T00:00:00.000,26.250000,82.000000,"[82, 26.25]"
Dyarrl Island,7758,Valid,Mesosiderite-A1,,1933-01-01T00:00:00.000,-3.000000,151.000000,"[151, -3]"
Eagle,7760,Valid,EL6,,1947-01-01T00:00:00.000,40.781670,-96.471670,"[-96.47167, 40.78167]"
Ehole,7774,Valid,H5,,1961-01-01T00:00:00.000,-17.300000,15.833330,"[15.83333, -17.3]"
Eichstädt,7775,Valid,H5,,1785-01-01T00:00:00.000,48.900000,11.216670,"[11.21667, 48.9]"
Ekeby,7776,Valid,H4,,1939-01-01T00:00:00.000,56.033330,13.000000,"[13, 56.03333]"
Ekh Khera,7777,Valid,H6,,1916-01-01T00:00:00.000,28.266670,78.783330,"[78.78333, 28.26667]"
El Idrissia,7807,Valid,L6,,1989-01-01T00:00:00.000,34.416670,3.250000,"[3.25, 34.41667]"
El Paso de Aguila,45977,Valid,H5,,1977-01-01T00:00:00.000,25.370000,-97.370000,"[-97.37, 25.37]"
El Tigre,7819,Valid,L6,,1993-01-01T00:00:00.000,19.967220,-103.051670,"[-103.05167, 19.96722]"
Elbert,7822,Valid,LL6,,1998-01-01T00:00:00.000,39.246670,-104.588170,"[-104.58817, 39.24667]"
Elbogen,7823,Valid,"Iron, IID",,1400-01-01T00:00:00.000,50.183330,12.733330,"[12.73333, 50.18333]"
Elenovka,7824,Valid,L5,,1951-01-01T00:00:00.000,47.833330,37.666670,"[37.66667, 47.83333]"
Ellemeet,10019,Valid,Diogenite,,1925-01-01T00:00:00.000,51.750000,4.000000,"[4, 51.75]"
Emmaville,10033,Valid,Eucrite-mmict,,1900-01-01T00:00:00.000,-29.466670,151.616670,"[151.61667, -29.46667]"
Enshi,10038,Valid,H5,,1974-01-01T00:00:00.000,30.300000,109.500000,"[109.5, 30.3]"
Ensisheim,10039,Valid,LL6,,1492-01-01T00:00:00.000,47.866670,7.350000,"[7.35, 47.86667]"
Épinal,10041,Valid,H5,,1822-01-01T00:00:00.000,48.183330,6.466670,"[6.46667, 48.18333]"
Erakot,10042,Valid,CM2,,1940-01-01T00:00:00.000,19.033330,81.891670,"[81.89167, 19.03333]"
Erevan,10043,Valid,Howardite,,1911-01-01T00:00:00.000,40.300000,44.500000,"[44.5, 40.3]"
Ergheo,10044,Valid,L5,,1889-01-01T00:00:00.000,1.166670,44.166670,"[44.16667, 1.16667]"
Erxleben,10049,Valid,H6,,1812-01-01T00:00:00.000,52.216670,11.250000,"[11.25, 52.21667]"
Esnandes,10051,Valid,L6,,1837-01-01T00:00:00.000,46.250000,-1.100000,"[-1.1, 46.25]"
Essebi,10055,Valid,C2-ung,,1957-01-01T00:00:00.000,2.883330,30.833330,"[30.83333, 2.88333]"
Estherville,10059,Valid,Mesosiderite-A3/4,,1879-01-01T00:00:00.000,43.416670,-94.833330,"[-94.83333, 43.41667]"
Farmington,10074,Valid,L5,,1890-01-01T00:00:00.000,39.750000,-97.033330,"[-97.03333, 39.75]"
Farmville,10075,Valid,H4,,1934-01-01T00:00:00.000,35.550000,-77.533330,"[-77.53333, 35.55]"
Favars,10078,Valid,H5,,1844-01-01T00:00:00.000,44.383330,2.816670,"[2.81667, 44.38333]"
Fayetteville,10079,Valid,H4,,1934-01-01T00:00:00.000,36.050000,-94.166670,"[-94.16667, 36.05]"
Feid Chair,10080,Valid,H4,,1875-01-01T00:00:00.000,36.883330,8.450000,"[8.45, 36.88333]"
Felix,10081,Valid,CO3.3,,1900-01-01T00:00:00.000,32.533330,-87.166670,"[-87.16667, 32.53333]"
Fenghsien-Ku,10086,Valid,H5,,1924-01-01T00:00:00.000,34.600000,116.750000,"[116.75, 34.6]"
Ferguson,10088,Valid,OC,,1889-01-01T00:00:00.000,36.100000,-81.416670,"[-81.41667, 36.1]"
Fermo,10091,Valid,H3-5,,1996-01-01T00:00:00.000,43.181110,13.753330,"[13.75333, 43.18111]"
Fisher,10107,Valid,L6,,1894-01-01T00:00:00.000,47.816670,-96.850000,"[-96.85, 47.81667]"
Florence,10111,Valid,H3,,1922-01-01T00:00:00.000,30.833330,-97.766670,"[-97.76667, 30.83333]"
Forest City,10119,Valid,H5,,1890-01-01T00:00:00.000,43.250000,-93.666670,"[-93.66667, 43.25]"
Forest Vale,10120,Valid,H4,,1942-01-01T00:00:00.000,-33.350000,146.858330,"[146.85833, -33.35]"
Forksville,10123,Valid,L6,,1924-01-01T00:00:00.000,36.783330,-78.083330,"[-78.08333, 36.78333]"
Forsbach,10163,Valid,H6,,1900-01-01T00:00:00.000,50.950000,7.316670,"[7.31667, 50.95]"
Forsyth,10164,Valid,L6,,1829-01-01T00:00:00.000,33.016670,-83.966670,"[-83.96667, 33.01667]"
Fort Flatters,10166,Valid,Stone-uncl,,1944-01-01T00:00:00.000,28.250000,7.000000,"[7, 28.25]"
Frankfort (stone),10177,Valid,Howardite,,1868-01-01T00:00:00.000,34.483330,-87.833330,"[-87.83333, 34.48333]"
Fuhe,52412,Valid,L5,,1945-01-01T00:00:00.000,31.475560,113.566940,"[113.56694, 31.47556]"
Fukutomi,10836,Valid,L5,,1882-01-01T00:00:00.000,33.183330,130.200000,"[130.2, 33.18333]"
Fünen,10838,Valid,Stone-uncl,,1654-01-01T00:00:00.000,55.333330,10.333330,"[10.33333, 55.33333]"
Futtehpur,10839,Valid,L6,,1822-01-01T00:00:00.000,25.950000,80.816670,"[80.81667, 25.95]"
Fuyang,10840,Valid,Stone-uncl,,1977-01-01T00:00:00.000,32.900000,115.900000,"[115.9, 32.9]"
Galapian,10846,Valid,H6,,1826-01-01T00:00:00.000,44.300000,0.400000,"[0.4, 44.3]"
Galim (a),10848,Valid,LL6,,1952-01-01T00:00:00.000,7.050000,12.433330,"[12.43333, 7.05]"
Galim (b),10849,Valid,EH3/4-an,,1952-01-01T00:00:00.000,7.050000,12.433330,"[12.43333, 7.05]"
Galkiv,10850,Valid,H4,,1995-01-01T00:00:00.000,51.683330,30.783330,"[30.78333, 51.68333]"
Gambat,10851,Valid,L6,,1897-01-01T00:00:00.000,27.350000,68.533330,"[68.53333, 27.35]"
Gao-Guenie,10854,Valid,H5,,1960-01-01T00:00:00.000,11.650000,-2.183330,"[-2.18333, 11.65]"
Garhi Yasin,10860,Valid,"Iron, IIE",,1917-01-01T00:00:00.000,27.883330,68.533330,"[68.53333, 27.88333]"
Garland,10861,Valid,Diogenite-pm,,1950-01-01T00:00:00.000,41.683330,-112.133330,"[-112.13333, 41.68333]"
Gashua,44882,Valid,L6,,1984-01-01T00:00:00.000,12.850000,11.033330,"[11.03333, 12.85]"
Gasseltepaoua,10866,Valid,H5,,2000-01-01T00:00:00.000,14.150830,-2.041670,"[-2.04167, 14.15083]"
Geidam,10870,Valid,H5,,1950-01-01T00:00:00.000,12.916670,11.916670,"[11.91667, 12.91667]"
Gifu,10914,Valid,L6,,1909-01-01T00:00:00.000,35.533330,136.883330,"[136.88333, 35.53333]"
Girgenti,10917,Valid,L6,,1853-01-01T00:00:00.000,37.316670,13.566670,"[13.56667, 37.31667]"
Git-Git,10919,Valid,L6,,1947-01-01T00:00:00.000,9.600000,9.916670,"[9.91667, 9.6]"
Glanerbrug,10923,Valid,L/LL5,,1990-01-01T00:00:00.000,52.200000,6.866670,"[6.86667, 52.2]"
Glanggang,10924,Valid,H5-6,,1939-01-01T00:00:00.000,-7.250000,107.700000,"[107.7, -7.25]"
Glasatovo,10926,Valid,H4,,1918-01-01T00:00:00.000,57.350000,37.616670,"[37.61667, 57.35]"
Glatton,10930,Valid,L6,,1991-01-01T00:00:00.000,52.459720,-0.300000,"[-0.3, 52.45972]"
Gnadenfrei,10936,Valid,H5,,1879-01-01T00:00:00.000,50.666670,16.766670,"[16.76667, 50.66667]"
Gopalpur,10948,Valid,H6,,1865-01-01T00:00:00.000,24.233330,89.050000,"[89.05, 24.23333]"
Gorlovka,10949,Valid,H3.7,,1974-01-01T00:00:00.000,48.283330,38.083330,"[38.08333, 48.28333]"
Granes,10956,Valid,L6,,1964-01-01T00:00:00.000,42.900000,2.250000,"[2.25, 42.9]"
Grefsheim,11196,Valid,L5,,1976-01-01T00:00:00.000,60.666670,11.000000,"[11, 60.66667]"
Grimsby,50911,Valid,H5,,2009-01-01T00:00:00.000,43.200000,-79.616670,"[-79.61667, 43.2]"
Grosnaja,11206,Valid,CV3,,1861-01-01T00:00:00.000,43.666670,45.383330,"[45.38333, 43.66667]"
Gross-Divina,11207,Valid,H5,,1837-01-01T00:00:00.000,49.266670,18.716670,"[18.71667, 49.26667]"
Grossliebenthal,11208,Valid,L6,,1881-01-01T00:00:00.000,46.350000,30.583330,"[30.58333, 46.35]"
Grüneberg,11426,Valid,H4,,1841-01-01T00:00:00.000,51.933330,15.500000,"[15.5, 51.93333]"
Grzempach,11429,Valid,H5,,1910-01-01T00:00:00.000,52.866670,16.633330,"[16.63333, 52.86667]"
Gualeguaychú,11432,Valid,H6,,1932-01-01T00:00:00.000,-33.000000,-58.616670,"[-58.61667, -33]"
Guangmingshan,11435,Valid,H5,,1996-01-01T00:00:00.000,39.804170,122.763890,"[122.76389, 39.80417]"
Guangnan,11436,Valid,L6,,1983-01-01T00:00:00.000,24.100000,105.000000,"[105, 24.1]"
Guangrao,11437,Valid,L6,,1980-01-01T00:00:00.000,37.100000,118.400000,"[118.4, 37.1]"
Guareña,11439,Valid,H6,,1892-01-01T00:00:00.000,38.733330,-6.016670,"[-6.01667, 38.73333]"
Guêa,11440,Valid,Stone-uncl,,1891-01-01T00:00:00.000,43.766670,20.233330,"[20.23333, 43.76667]"
Guibga,11442,Valid,L5,,1972-01-01T00:00:00.000,13.500000,-0.683330,"[-0.68333, 13.5]"
Guidder,11443,Valid,LL5,,1949-01-01T00:00:00.000,9.916670,13.983330,"[13.98333, 9.91667]"
Gujargaon,11448,Valid,H5,,1982-01-01T00:00:00.000,22.983330,76.050000,"[76.05, 22.98333]"
Gujba,11449,Valid,CBa,,1984-01-01T00:00:00.000,11.491670,11.658330,"[11.65833, 11.49167]"
Gumoschnik,11450,Valid,H5,,1904-01-01T00:00:00.000,42.900000,24.700000,"[24.7, 42.9]"
Gurram Konda,11464,Valid,L6,,1814-01-01T00:00:00.000,13.783330,78.566670,"[78.56667, 13.78333]"
Gursum,11465,Valid,H4/5,,1981-01-01T00:00:00.000,9.366670,42.416670,"[42.41667, 9.36667]"
Gütersloh,11466,Valid,H3/4,,1851-01-01T00:00:00.000,51.916670,8.383330,"[8.38333, 51.91667]"
Gyokukei,11467,Valid,OC,,1930-01-01T00:00:00.000,35.000000,127.500000,"[127.5, 35]"
Hachi-oji,11468,Valid,H?,,1817-01-01T00:00:00.000,35.650000,139.333330,"[139.33333, 35.65]"
Hainaut,11472,Valid,H3-6,,1934-01-01T00:00:00.000,50.316670,3.733330,"[3.73333, 50.31667]"
Hallingeberg,11479,Valid,L3.4,,1944-01-01T00:00:00.000,57.816670,16.233330,"[16.23333, 57.81667]"
Hamlet,11485,Valid,LL4,,1959-01-01T00:00:00.000,41.383330,-86.600000,"[-86.6, 41.38333]"
Haraiya,11824,Valid,Eucrite-mmict,,1878-01-01T00:00:00.000,26.800000,82.533330,"[82.53333, 26.8]"
Haripura,11829,Valid,CM2,,1921-01-01T00:00:00.000,28.383330,75.783330,"[75.78333, 28.38333]"
Harleton,11830,Valid,L6,,1961-01-01T00:00:00.000,32.675000,-94.511670,"[-94.51167, 32.675]"
Harrison County,11842,Valid,L6,,1859-01-01T00:00:00.000,38.250000,-86.166670,"[-86.16667, 38.25]"
Hashima,11848,Valid,H4,,1910-01-01T00:00:00.000,35.294500,136.700330,"[136.70033, 35.2945]"
Hassi-Jekna,11852,Valid,"Iron, IAB-sHL",,1890-01-01T00:00:00.000,28.950000,0.816670,"[0.81667, 28.95]"
Hatford,11855,Valid,Stone-uncl,,1628-01-01T00:00:00.000,51.650000,-1.516670,"[-1.51667, 51.65]"
Haverö,11859,Valid,Ureilite,,1971-01-01T00:00:00.000,60.245560,22.061940,"[22.06194, 60.24556]"
Hedeskoga,11869,Valid,H5,,1922-01-01T00:00:00.000,55.466670,13.783330,"[13.78333, 55.46667]"
Hedjaz,11870,Valid,L3.7-6,,1910-01-01T00:00:00.000,27.333330,35.666670,"[35.66667, 27.33333]"
Heredia,11875,Valid,H5,,1857-01-01T00:00:00.000,10.000000,-84.100000,"[-84.1, 10]"
Hessle,11878,Valid,H5,,1869-01-01T00:00:00.000,59.850000,17.666670,"[17.66667, 59.85]"
Higashi-koen,11883,Valid,H5,,1897-01-01T00:00:00.000,33.600000,130.433330,"[130.43333, 33.6]"
High Possil,11884,Valid,L6,,1804-01-01T00:00:00.000,55.900000,-4.233330,"[-4.23333, 55.9]"
Hiroshima,11889,Valid,H5,,2003-01-01T00:00:00.000,34.450000,132.383330,"[132.38333, 34.45]"
Hoima,44714,Valid,H6,,2003-01-01T00:00:00.000,1.345000,31.472780,"[31.47278, 1.345]"
Hökmark,11893,Valid,L4,,1954-01-01T00:00:00.000,64.433330,21.200000,"[21.2, 64.43333]"
Holbrook,11894,Valid,L/LL6,,1912-01-01T00:00:00.000,34.900000,-110.183330,"[-110.18333, 34.9]"
Holetta,11895,Valid,Stone-uncl,,1923-01-01T00:00:00.000,9.066670,38.416670,"[38.41667, 9.06667]"
Homestead,11901,Valid,L5,,1875-01-01T00:00:00.000,41.800000,-91.866670,"[-91.86667, 41.8]"
Honolulu,11904,Valid,L5,,1825-01-01T00:00:00.000,21.300000,-157.866670,"[-157.86667, 21.3]"
Hotse,11913,Valid,L6,,1956-01-01T00:00:00.000,35.666670,115.500000,"[115.5, 35.66667]"
Hoxie,11915,Valid,OC,,1963-01-01T00:00:00.000,39.350000,-100.450000,"[-100.45, 39.35]"
Hraschina,11916,Valid,"Iron, IID",,1751-01-01T00:00:00.000,46.100000,16.333330,"[16.33333, 46.1]"
Huaxi,54719,Valid,H5,,2010-01-01T00:00:00.000,26.464690,106.632410,"[106.63241, 26.46469]"
Hungen,11986,Valid,H6,,1877-01-01T00:00:00.000,50.300000,8.916670,"[8.91667, 50.3]"
Hvittis,11989,Valid,EL6,,1901-01-01T00:00:00.000,61.183330,22.683330,"[22.68333, 61.18333]"
Ibbenbüren,11992,Valid,Diogenite,,1870-01-01T00:00:00.000,52.283330,7.700000,"[7.7, 52.28333]"
Ibitira,11993,Valid,Eucrite-mmict,,1957-01-01T00:00:00.000,-20.000000,-45.000000,"[-45, -20]"
Ibrisim,11994,Valid,OC,,1949-01-01T00:00:00.000,38.000000,35.000000,"[35, 38]"
Ichkala,11995,Valid,H6,,1936-01-01T00:00:00.000,58.200000,82.933330,"[82.93333, 58.2]"
Idutywa,12000,Valid,H5,,1956-01-01T00:00:00.000,-32.100000,28.333330,"[28.33333, -32.1]"
Iguaracu,12003,Valid,H5,,1977-01-01T00:00:00.000,-23.200000,-51.833330,"[-51.83333, -23.2]"
Ijopega,12004,Valid,H6,,1975-01-01T00:00:00.000,-6.033330,145.366670,"[145.36667, -6.03333]"
Indarch,12027,Valid,EH4,,1891-01-01T00:00:00.000,39.750000,46.666670,"[46.66667, 39.75]"
Independence,12028,Valid,L6,,1917-01-01T00:00:00.000,39.083330,-94.400000,"[-94.4, 39.08333]"
Inner Mongolia,12037,Valid,L6,,1963-01-01T00:00:00.000,41.000000,112.000000,"[112, 41]"
