Name of Earth Meteorite,ID of Earth Meteorite,Name Type,Recclass,Mass (g),Year,Latitude,Longitude,Coordinates
Mazapil,15453,Valid,"Iron, IAB-sLL",,1885-01-01T00:00:00.000,24.683330,-101.683330,"[-101.68333, 24.68333]"
Maziba,15454,Valid,L6,,1942-01-01T00:00:00.000,-1.216670,30.000000,"[30, -1.21667]"
Mbale,15455,Valid,L5/6,,1992-01-01T00:00:00.000,1.066670,34.166670,"[34.16667, 1.06667]"
Medanitos,15467,Valid,Eucrite-cm,,1953-01-01T00:00:00.000,-27.250000,-67.500000,"[-67.5, -27.25]"
Meerut,15469,Valid,H5,,1861-01-01T00:00:00.000,29.016670,77.800000,"[77.8, 29.01667]"
Meester-Cornelis,15470,Valid,H5,,1915-01-01T00:00:00.000,-6.233330,106.883330,"[106.88333, -6.23333]"
Menow,15485,Valid,H4,,1862-01-01T00:00:00.000,53.183330,13.150000,"[13.15, 53.18333]"
Menziswyl,15486,Valid,L5,,1903-01-01T00:00:00.000,46.818670,7.218170,"[7.21817, 46.81867]"
Mern,15489,Valid,L6,,1878-01-01T00:00:00.000,55.050000,12.066670,"[12.06667, 55.05]"
Meru,15491,Valid,LL6,,1945-01-01T00:00:00.000,0.000000,37.666670,"[37.66667, 0]"
Merua,15492,Valid,H5,,1920-01-01T00:00:00.000,25.483330,81.983330,"[81.98333, 25.48333]"
Messina,15495,Valid,L5,,1955-01-01T00:00:00.000,38.183330,15.566670,"[15.56667, 38.18333]"
Meuselbach,16626,Valid,L6,,1897-01-01T00:00:00.000,50.583330,11.100000,"[11.1, 50.58333]"
Mezel,16627,Valid,L6,,1949-01-01T00:00:00.000,45.766670,3.250000,"[3.25, 45.76667]"
Mezö-Madaras,16628,Valid,L3.7,,1852-01-01T00:00:00.000,46.500000,25.733330,"[25.73333, 46.5]"
Mhow,16629,Valid,L6,,1827-01-01T00:00:00.000,25.900000,83.616670,"[83.61667, 25.9]"
Mianchi,16631,Valid,H5,,1980-01-01T00:00:00.000,34.800000,111.700000,"[111.7, 34.8]"
Middlesbrough,16632,Valid,L6,,1881-01-01T00:00:00.000,54.566670,-1.166670,"[-1.16667, 54.56667]"
Mifflin,52090,Valid,L5,,2010-01-01T00:00:00.000,42.907500,-90.365560,"[-90.36556, 42.9075]"
Mighei,16634,Valid,CM2,,1889-01-01T00:00:00.000,48.066670,30.966670,"[30.96667, 48.06667]"
Mihonoseki,16635,Valid,L6,,1992-01-01T00:00:00.000,35.568330,133.220000,"[133.22, 35.56833]"
Mike,16636,Valid,L6,,1944-01-01T00:00:00.000,46.233330,17.533330,"[17.53333, 46.23333]"
Milena,16640,Valid,L6,,1842-01-01T00:00:00.000,46.183330,16.100000,"[16.1, 46.18333]"
Millbillillie,16643,Valid,Eucrite-mmict,,1960-01-01T00:00:00.000,-26.450000,120.366670,"[120.36667, -26.45]"
Miller (Arkansas),16645,Valid,H5,,1930-01-01T00:00:00.000,35.400000,-92.050000,"[-92.05, 35.4]"
Minamino,16692,Valid,L,,1632-01-01T00:00:00.000,35.078330,136.933330,"[136.93333, 35.07833]"
Mineo,16696,Valid,Pallasite,,1826-01-01T00:00:00.000,37.283330,14.700000,"[14.7, 37.28333]"
Min-Fan-Zhun,16697,Valid,LL6,,1952-01-01T00:00:00.000,32.333330,120.666670,"[120.66667, 32.33333]"
Minnichhof,16700,Valid,OC,,1905-01-01T00:00:00.000,47.700000,16.600000,"[16.6, 47.7]"
Mirzapur,16701,Valid,L5,,1910-01-01T00:00:00.000,25.683330,83.250000,"[83.25, 25.68333]"
Misshof,16703,Valid,H5,,1890-01-01T00:00:00.000,56.666670,23.000000,"[23, 56.66667]"
Mjelleim,16707,Valid,H,,1898-01-01T00:00:00.000,61.733330,5.933330,"[5.93333, 61.73333]"
Mocs,16709,Valid,L5-6,,1882-01-01T00:00:00.000,46.800000,24.033330,"[24.03333, 46.8]"
Modoc (1905),16711,Valid,L6,,1905-01-01T00:00:00.000,38.500000,-101.100000,"[-101.1, 38.5]"
Mokoia,16713,Valid,CV3,,1908-01-01T00:00:00.000,-39.633330,174.400000,"[174.4, -39.63333]"
Molina,16715,Valid,H5,,1858-01-01T00:00:00.000,38.116670,-1.166670,"[-1.16667, 38.11667]"
Molteno,16717,Valid,Howardite,,1953-01-01T00:00:00.000,-31.250000,26.466670,"[26.46667, -31.25]"
Monahans (1998),16719,Valid,H5,,1998-01-01T00:00:00.000,31.608330,-102.858330,"[-102.85833, 31.60833]"
Monroe,16720,Valid,H4,,1849-01-01T00:00:00.000,35.250000,-80.500000,"[-80.5, 35.25]"
Monte das Fortes,16725,Valid,L5,,1950-01-01T00:00:00.000,38.016670,-8.250000,"[-8.25, 38.01667]"
Monte Milone,16726,Valid,L5,,1846-01-01T00:00:00.000,43.266670,13.350000,"[13.35, 43.26667]"
Montferré,16727,Valid,H5,,1923-01-01T00:00:00.000,43.390560,1.962500,"[1.9625, 43.39056]"
Montlivault,16729,Valid,L6,,1838-01-01T00:00:00.000,47.633330,1.583330,"[1.58333, 47.63333]"
Monze,16733,Valid,L6,,1950-01-01T00:00:00.000,-15.966670,27.350000,"[27.35, -15.96667]"
Moore County,16736,Valid,Eucrite-cm,,1913-01-01T00:00:00.000,35.416670,-79.383330,"[-79.38333, 35.41667]"
Mooresfort,16737,Valid,H5,,1810-01-01T00:00:00.000,52.450000,-8.333330,"[-8.33333, 52.45]"
Moorleah,16738,Valid,L6,,1930-01-01T00:00:00.000,-40.975000,145.600000,"[145.6, -40.975]"
Moradabad,16740,Valid,L6,,1808-01-01T00:00:00.000,28.783330,78.833330,"[78.83333, 28.78333]"
Morávka,16742,Valid,H5,,2000-01-01T00:00:00.000,49.600000,18.533330,"[18.53333, 49.6]"
Mornans,16747,Valid,H5,,1875-01-01T00:00:00.000,44.600000,5.133330,"[5.13333, 44.6]"
Moss,36592,Valid,CO3.6,,2006-01-01T00:00:00.000,59.433330,10.700000,"[10.7, 59.43333]"
Moti-ka-nagla,16759,Valid,H6,,1868-01-01T00:00:00.000,26.833330,77.333330,"[77.33333, 26.83333]"
Motta di Conti,16762,Valid,H4,,1868-01-01T00:00:00.000,45.200000,8.500000,"[8.5, 45.2]"
Mount Browne,16766,Valid,H6,,1902-01-01T00:00:00.000,-29.800000,141.700000,"[141.7, -29.8]"
Mount Tazerzait,16804,Valid,L5,,1991-01-01T00:00:00.000,18.700000,4.800000,"[4.8, 18.7]"
Mount Vaisi,16805,Valid,Stone-uncl,,1637-01-01T00:00:00.000,44.083330,6.866670,"[6.86667, 44.08333]"
Mtola,16820,Valid,Stone-uncl,,1944-01-01T00:00:00.000,-11.500000,33.500000,"[33.5, -11.5]"
Muddoor,16841,Valid,L5,,1865-01-01T00:00:00.000,12.633330,77.016670,"[77.01667, 12.63333]"
Mulletiwu,16851,Valid,L,,1795-01-01T00:00:00.000,9.333330,80.833330,"[80.83333, 9.33333]"
Muraid,16874,Valid,L6,,1924-01-01T00:00:00.000,24.500000,90.216670,"[90.21667, 24.5]"
Murchison,16875,Valid,CM2,,1969-01-01T00:00:00.000,-36.616670,145.200000,"[145.2, -36.61667]"
Murray,16882,Valid,CM2,,1950-01-01T00:00:00.000,36.600000,-88.100000,"[-88.1, 36.6]"
Muzaffarpur,16885,Valid,"Iron, IAB-sHL",,1964-01-01T00:00:00.000,26.133330,85.533330,"[85.53333, 26.13333]"
Myhee Caunta,16887,Valid,OC,,1842-01-01T00:00:00.000,23.050000,72.633330,"[72.63333, 23.05]"
Nadiabondi,16889,Valid,H5,,1956-01-01T00:00:00.000,12.000000,1.000000,"[1, 12]"
Nagai,16890,Valid,L6,,1922-01-01T00:00:00.000,38.121670,140.061670,"[140.06167, 38.12167]"
Nagaria,16892,Valid,Eucrite-cm,,1875-01-01T00:00:00.000,26.983330,78.216670,"[78.21667, 26.98333]"
Nagy-Borové,16893,Valid,L5,,1895-01-01T00:00:00.000,49.166670,19.500000,"[19.5, 49.16667]"
Nakhla,16898,Valid,Martian (nakhlite),,1911-01-01T00:00:00.000,31.316670,30.350000,"[30.35, 31.31667]"
Nakhon Pathom,16899,Valid,L6,,1923-01-01T00:00:00.000,13.733330,100.083330,"[100.08333, 13.73333]"
Nammianthal,16902,Valid,H5,,1886-01-01T00:00:00.000,12.283330,79.200000,"[79.2, 12.28333]"
Nan Yang Pao,16903,Valid,L6,,1917-01-01T00:00:00.000,35.666670,103.500000,"[103.5, 35.66667]"
Nanjemoy,16904,Valid,H6,,1825-01-01T00:00:00.000,38.416670,-77.166670,"[-77.16667, 38.41667]"
Nantong,16907,Valid,H6,,1984-01-01T00:00:00.000,32.116670,121.800000,"[121.8, 32.11667]"
Naoki,16908,Valid,H6,,1928-01-01T00:00:00.000,19.250000,77.000000,"[77, 19.25]"
Naragh,16909,Valid,H6,,1974-01-01T00:00:00.000,33.750000,51.500000,"[51.5, 33.75]"
Narellan,16912,Valid,L6,,1928-01-01T00:00:00.000,-34.050000,150.688890,"[150.68889, -34.05]"
Narni,16914,Valid,Stone-uncl,,0921-01-01T00:00:00.000,42.516670,12.516670,"[12.51667, 42.51667]"
Nassirah,16922,Valid,H4,,1936-01-01T00:00:00.000,-21.733330,165.900000,"[165.9, -21.73333]"
Natal,16923,Valid,Stone-uncl,,1973-01-01T00:00:00.000,,,[]
Nawapali,16927,Valid,CM2,,1890-01-01T00:00:00.000,21.250000,83.666670,"[83.66667, 21.25]"
Neagari,16934,Valid,L6,,1995-01-01T00:00:00.000,36.449170,136.465280,"[136.46528, 36.44917]"
Nedagolla,16935,Valid,"Iron, ungrouped",,1870-01-01T00:00:00.000,18.683330,83.483330,"[83.48333, 18.68333]"
Nejo,16941,Valid,L6,,1970-01-01T00:00:00.000,9.500000,35.333330,"[35.33333, 9.5]"
Nerft,16945,Valid,L6,,1864-01-01T00:00:00.000,56.500000,21.500000,"[21.5, 56.5]"
Neuschwanstein,16950,Valid,EL6,,2002-01-01T00:00:00.000,47.525000,10.808330,"[10.80833, 47.525]"
New Concord,16953,Valid,L6,,1860-01-01T00:00:00.000,40.000000,-81.766670,"[-81.76667, 40]"
New Halfa,16954,Valid,L4,,1994-01-01T00:00:00.000,15.366670,35.683330,"[35.68333, 15.36667]"
New Orleans,16960,Valid,H5,,2003-01-01T00:00:00.000,29.947180,-90.109760,"[-90.10976, 29.94718]"
Ngawi,16966,Valid,LL3.6,,1883-01-01T00:00:00.000,-7.450000,111.416670,"[111.41667, -7.45]"
N'Goureyma,16968,Valid,"Iron, ungrouped",,1900-01-01T00:00:00.000,13.850000,-4.383330,"[-4.38333, 13.85]"
Nicorps,16970,Valid,Stone-uncl,,1750-01-01T00:00:00.000,49.033330,-1.433330,"[-1.43333, 49.03333]"
Niger (L6),16974,Valid,L6,,1967-01-01T00:00:00.000,,,[]
Niger (LL6),16975,Valid,LL6,,1967-01-01T00:00:00.000,,,[]
Nikolaevka,16976,Valid,H4,,1935-01-01T00:00:00.000,52.450000,78.633330,"[78.63333, 52.45]"
Nikolskoe,16977,Valid,L4,,1954-01-01T00:00:00.000,56.116670,37.333330,"[37.33333, 56.11667]"
Ningbo,16980,Valid,"Iron, IVA",,1975-01-01T00:00:00.000,29.866670,121.483330,"[121.48333, 29.86667]"
Ningqiang,16981,Valid,C3-ung,,1983-01-01T00:00:00.000,32.925000,105.906670,"[105.90667, 32.925]"
Nio,16982,Valid,H3-4,,1897-01-01T00:00:00.000,34.200000,131.566670,"[131.56667, 34.2]"
N'Kandhla,16983,Valid,"Iron, IID",,1912-01-01T00:00:00.000,-28.566670,30.700000,"[30.7, -28.56667]"
Nobleborough,16984,Valid,Eucrite-pmict,,1823-01-01T00:00:00.000,44.083330,-69.483330,"[-69.48333, 44.08333]"
Noblesville,16985,Valid,H4-6,,1991-01-01T00:00:00.000,40.085280,-86.055000,"[-86.055, 40.08528]"
Nogata,16988,Valid,L6,,0861-01-01T00:00:00.000,33.725000,130.750000,"[130.75, 33.725]"
Nogoya,16989,Valid,CM2,,1879-01-01T00:00:00.000,-32.366670,-59.833330,"[-59.83333, -32.36667]"
Norfork,16994,Valid,"Iron, IIIAB",,1918-01-01T00:00:00.000,36.216670,-92.266670,"[-92.26667, 36.21667]"
Norton County,17922,Valid,Aubrite,,1948-01-01T00:00:00.000,39.683330,-99.866670,"[-99.86667, 39.68333]"
Noventa Vicentina,17930,Valid,H4,,1971-01-01T00:00:00.000,45.291670,11.527220,"[11.52722, 45.29167]"
Novo-Urei,17933,Valid,Ureilite,,1886-01-01T00:00:00.000,54.816670,46.000000,"[46, 54.81667]"
Novy-Ergi,17934,Valid,Stone-uncl,,1662-01-01T00:00:00.000,58.550000,31.333330,"[31.33333, 58.55]"
Novy-Projekt,17935,Valid,OC,,1908-01-01T00:00:00.000,56.000000,22.000000,"[22, 56]"
Noyan-Bogdo,17936,Valid,L6,,1933-01-01T00:00:00.000,42.916670,102.466670,"[102.46667, 42.91667]"
Nuevo Mercurio,17938,Valid,H5,,1978-01-01T00:00:00.000,24.300000,-102.133330,"[-102.13333, 24.3]"
Nulles,17959,Valid,H6,,1851-01-01T00:00:00.000,41.633330,0.750000,"[0.75, 41.63333]"
Numakai,17960,Valid,H4,,1925-01-01T00:00:00.000,43.333330,141.866670,"[141.86667, 43.33333]"
Nyaung,17969,Valid,"Iron, IIIAB",,1939-01-01T00:00:00.000,21.208330,94.916670,"[94.91667, 21.20833]"
Nyirábrany,17970,Valid,LL5,,1914-01-01T00:00:00.000,47.550000,22.025000,"[22.025, 47.55]"
Ochansk,17979,Valid,H4,,1887-01-01T00:00:00.000,57.783330,55.266670,"[55.26667, 57.78333]"
Oesede,17988,Valid,H5,,1927-01-01T00:00:00.000,52.283330,8.050000,"[8.05, 52.28333]"
Oesel,17989,Valid,L6,,1855-01-01T00:00:00.000,58.500000,23.000000,"[23, 58.5]"
Ofehértó,17990,Valid,L6,,1900-01-01T00:00:00.000,47.883330,22.033330,"[22.03333, 47.88333]"
Ogi,17994,Valid,H6,,1741-01-01T00:00:00.000,33.283330,130.200000,"[130.2, 33.28333]"
Ohaba,17995,Valid,H5,,1857-01-01T00:00:00.000,46.066670,23.583330,"[23.58333, 46.06667]"
Ohuma,17996,Valid,L5,,1963-01-01T00:00:00.000,6.750000,8.500000,"[8.5, 6.75]"
Ojuelos Altos,17997,Valid,L6,,1926-01-01T00:00:00.000,38.183330,-5.400000,"[-5.4, 38.18333]"
Okabe,17998,Valid,H5,,1958-01-01T00:00:00.000,36.183330,139.216670,"[139.21667, 36.18333]"
Okano,18000,Valid,"Iron, IIAB",,1904-01-01T00:00:00.000,35.083330,135.200000,"[135.2, 35.08333]"
Okniny,18002,Valid,LL6,,1834-01-01T00:00:00.000,50.833330,25.500000,"[25.5, 50.83333]"
Oldenburg (1930),18009,Valid,L6,,1930-01-01T00:00:00.000,52.950000,8.166670,"[8.16667, 52.95]"
Oliva-Gandia,18012,Valid,Stone-uncl,,1520-01-01T00:00:00.000,39.000000,-0.033330,"[-0.03333, 39]"
Olivenza,18013,Valid,LL5,,1924-01-01T00:00:00.000,38.716670,-7.066670,"[-7.06667, 38.71667]"
Olmedilla de Alarcón,18015,Valid,H5,,1929-01-01T00:00:00.000,39.566670,-2.100000,"[-2.1, 39.56667]"
Omolon,18019,Valid,"Pallasite, PMG",,1981-01-01T00:00:00.000,64.020000,161.808330,"[161.80833, 64.02]"
Orgueil,18026,Valid,CI1,,1864-01-01T00:00:00.000,43.883330,1.383330,"[1.38333, 43.88333]"
Orlando,34489,Valid,Eucrite,,2004-01-01T00:00:00.000,28.547500,-81.362220,"[-81.36222, 28.5475]"
Ornans,18030,Valid,CO3.4,,1868-01-01T00:00:00.000,47.116670,6.150000,"[6.15, 47.11667]"
Ortenau,18033,Valid,Stone-uncl,,1671-01-01T00:00:00.000,48.500000,8.000000,"[8, 48.5]"
Orvinio,18034,Valid,H6,,1872-01-01T00:00:00.000,42.133330,12.933330,"[12.93333, 42.13333]"
Oterøy,18042,Valid,L6,,1928-01-01T00:00:00.000,58.883330,9.400000,"[9.4, 58.88333]"
Otomi,18045,Valid,H,,1867-01-01T00:00:00.000,38.400000,140.350000,"[140.35, 38.4]"
Ottawa,18046,Valid,LL6,,1896-01-01T00:00:00.000,38.600000,-95.216670,"[-95.21667, 38.6]"
Ouadangou,56729,Valid,L5,,2003-01-01T00:00:00.000,12.900000,0.080000,"[0.08, 12.9]"
Oued el Hadjar,18050,Valid,LL6,,1986-01-01T00:00:00.000,30.180000,-6.577170,"[-6.57717, 30.18]"
Oum Dreyga,31282,Valid,H3-5,,2003-01-01T00:00:00.000,24.300000,-13.100000,"[-13.1, 24.3]"
Ourique,18052,Valid,H4,,1998-01-01T00:00:00.000,37.608330,-8.280000,"[-8.28, 37.60833]"
Ovambo,18055,Valid,L6,,1900-01-01T00:00:00.000,-18.000000,16.000000,"[16, -18]"
Oviedo,18058,Valid,H5,,1856-01-01T00:00:00.000,43.400000,-5.866670,"[-5.86667, 43.4]"
Owrucz,18062,Valid,OC,,1775-01-01T00:00:00.000,51.333330,28.833330,"[28.83333, 51.33333]"
Pacula,18068,Valid,L6,,1881-01-01T00:00:00.000,21.050000,-99.300000,"[-99.3, 21.05]"
Padvarninkai,18069,Valid,Eucrite-mmict,,1929-01-01T00:00:00.000,55.666670,25.000000,"[25, 55.66667]"
Paitan,18072,Valid,H6,,1910-01-01T00:00:00.000,17.743330,120.455830,"[120.45583, 17.74333]"
Palahatchie,18073,Valid,OC,,1910-01-01T00:00:00.000,32.316670,-89.716670,"[-89.71667, 32.31667]"
Palca de Aparzo,18074,Valid,L5,,1988-01-01T00:00:00.000,-23.116670,-65.100000,"[-65.1, -23.11667]"
Palinshih,18077,Valid,Iron,,1914-01-01T00:00:00.000,43.483330,118.616670,"[118.61667, 43.48333]"
Palmyra,18079,Valid,L3,,1926-01-01T00:00:00.000,39.800000,-91.500000,"[-91.5, 39.8]"
Palolo Valley,18082,Valid,H5,,1949-01-01T00:00:00.000,21.300000,-157.783330,"[-157.78333, 21.3]"
Dominion Range 03239,32591,Valid,L6,,2002-01-01T00:00:00.000,,,[]
Pampanga,18093,Valid,L5,,1859-01-01T00:00:00.000,15.083330,120.700000,"[120.7, 15.08333]"
Pantar,18098,Valid,H5,,1938-01-01T00:00:00.000,8.066670,124.283330,"[124.28333, 8.06667]"
Paragould,18101,Valid,LL5,,1930-01-01T00:00:00.000,36.066670,-90.500000,"[-90.5, 36.06667]"
Parambu,18102,Valid,LL5,,1967-01-01T00:00:00.000,-6.233330,-40.700000,"[-40.7, -6.23333]"
Paranaiba,18103,Valid,L6,,1956-01-01T00:00:00.000,-19.133330,-51.666670,"[-51.66667, -19.13333]"
Park Forest,18106,Valid,L5,,2003-01-01T00:00:00.000,41.484720,-87.679170,"[-87.67917, 41.48472]"
Parnallee,18108,Valid,LL3.6,,1857-01-01T00:00:00.000,9.233330,78.350000,"[78.35, 9.23333]"
Parsa,18109,Valid,EH3,,1942-01-01T00:00:00.000,26.200000,85.400000,"[85.4, 26.2]"
Pasamonte,18110,Valid,Eucrite-pmict,,1933-01-01T00:00:00.000,36.216670,-103.400000,"[-103.4, 36.21667]"
Patora,18112,Valid,H6,,1969-01-01T00:00:00.000,20.936940,82.050000,"[82.05, 20.93694]"
Patrimonio,18116,Valid,L6,,1950-01-01T00:00:00.000,-19.533330,-48.566670,"[-48.56667, -19.53333]"
Patti,18118,Valid,Iron,,1922-01-01T00:00:00.000,38.133330,14.966670,"[14.96667, 38.13333]"
Patwar,18171,Valid,Mesosiderite-A1,,1935-01-01T00:00:00.000,23.150000,91.183330,"[91.18333, 23.15]"
Pavel,18173,Valid,H5,,1966-01-01T00:00:00.000,43.466670,25.516670,"[25.51667, 43.46667]"
Pavlodar (stone),18175,Valid,H5,,1938-01-01T00:00:00.000,52.300000,77.033330,"[77.03333, 52.3]"
Pavlograd,18176,Valid,L6,,1826-01-01T00:00:00.000,48.533330,35.983330,"[35.98333, 48.53333]"
Pavlovka,18177,Valid,Howardite,,1882-01-01T00:00:00.000,52.033330,43.000000,"[43, 52.03333]"
Pê,18179,Valid,L6,,1989-01-01T00:00:00.000,11.333670,-3.542170,"[-3.54217, 11.33367]"
Peace River,18180,Valid,L6,,1963-01-01T00:00:00.000,56.133330,-117.933330,"[-117.93333, 56.13333]"
Peckelsheim,18181,Valid,Diogenite-pm,,1953-01-01T00:00:00.000,51.666670,9.250000,"[9.25, 51.66667]"
Peekskill,18782,Valid,H6,,1992-01-01T00:00:00.000,41.283330,-73.916670,"[-73.91667, 41.28333]"
Peña Blanca Spring,18786,Valid,Aubrite,,1946-01-01T00:00:00.000,30.125000,-103.116670,"[-103.11667, 30.125]"
Peramiho,18792,Valid,Eucrite-mmict,,1899-01-01T00:00:00.000,-10.666670,35.500000,"[35.5, -10.66667]"
Perpeti,18793,Valid,L6,,1935-01-01T00:00:00.000,23.325000,91.000000,"[91, 23.325]"
Perth,18797,Valid,LL5,,1830-01-01T00:00:00.000,56.400000,-3.433330,"[-3.43333, 56.4]"
Pervomaisky,18798,Valid,L6,,1933-01-01T00:00:00.000,56.633330,39.433330,"[39.43333, 56.63333]"
Pesyanoe,18799,Valid,Aubrite,,1933-01-01T00:00:00.000,55.500000,66.083330,"[66.08333, 55.5]"
Pétèlkolé,18800,Valid,H5,,1995-01-01T00:00:00.000,14.052000,0.420000,"[0.42, 14.052]"
Petersburg,18801,Valid,Eucrite-pmict,,1855-01-01T00:00:00.000,35.300000,-86.633330,"[-86.63333, 35.3]"
Pettiswood,18804,Valid,Stone-uncl,,1779-01-01T00:00:00.000,53.533330,-7.333330,"[-7.33333, 53.53333]"
Phillips County (stone),18808,Valid,L6,,1901-01-01T00:00:00.000,40.000000,-99.250000,"[-99.25, 40]"
Phu Hong,18809,Valid,H4,,1887-01-01T00:00:00.000,11.250000,108.583330,"[108.58333, 11.25]"
Phum Sambo,18811,Valid,H4,,1933-01-01T00:00:00.000,12.000000,105.483330,"[105.48333, 12]"
Phuoc-Binh,18812,Valid,L5,,1941-01-01T00:00:00.000,15.716670,108.100000,"[108.1, 15.71667]"
Piancaldoli,18813,Valid,LL3.4,,1968-01-01T00:00:00.000,44.244170,11.502220,"[11.50222, 44.24417]"
Picote,18816,Valid,Stone-uncl,,1843-01-01T00:00:00.000,41.366670,-6.233330,"[-6.23333, 41.36667]"
Pillistfer,18822,Valid,EL6,,1863-01-01T00:00:00.000,58.666670,25.733330,"[25.73333, 58.66667]"
Piplia Kalan,18831,Valid,Eucrite-mmict,,1996-01-01T00:00:00.000,26.034720,73.941670,"[73.94167, 26.03472]"
Piquetberg,18832,Valid,H,,1881-01-01T00:00:00.000,-32.866670,18.716670,"[18.71667, -32.86667]"
Pirgunje,18834,Valid,L6,,1882-01-01T00:00:00.000,25.800000,88.450000,"[88.45, 25.8]"
Pirthalla,18835,Valid,H6,,1884-01-01T00:00:00.000,29.583330,76.000000,"[76, 29.58333]"
Pitts,18837,Valid,"Iron, IAB-ung",,1921-01-01T00:00:00.000,31.950000,-83.516670,"[-83.51667, 31.95]"
Plantersville,18846,Valid,H6,,1930-01-01T00:00:00.000,30.700000,-96.116670,"[-96.11667, 30.7]"
